VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w
10, 21561, -4.52408, -130.7953,  32.59728, -0.99213, -0.00787, -0.12598,  1.00, -0.99213,  0.00787, -0.14173, -1.00,  0.08667,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.6549,  0.27451,  0.07059,  0.00
11, 21562, -4.27229, -130.73676,  30.6259, -0.99213, -0.00787, -0.12598,  1.00, -0.99213,  0.00787, -0.13386, -1.00,  0.0848,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.65098,  0.27843,  0.07059,  0.00
12, 21562, -4.27229, -130.73676,  30.6259, -0.99213, -0.00787, -0.12598,  1.00, -0.99213,  0.00787, -0.13386, -1.00,  0.0848,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.65098,  0.27843,  0.07059,  0.00
13, 21561, -4.52408, -130.7953,  32.59728, -0.99213, -0.00787, -0.12598,  1.00, -0.99213,  0.00787, -0.14173, -1.00,  0.08667,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.6549,  0.27451,  0.07059,  0.00
14, 21563, -4.27231, -139.48967,  31.05624, -0.99213, -0.00787, -0.12598,  1.00, -0.99213, -0.00787, -0.12598,  1.00,  0.07676,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.59216,  0.37255,  0.03529,  0.00
15, 21563, -4.27231, -139.48967,  31.05624, -0.99213, -0.00787, -0.12598,  1.00, -0.99213, -0.00787, -0.12598,  1.00,  0.07676,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.59216,  0.37255,  0.03529,  0.00
16, 21561, -4.52408, -130.7953,  32.59728, -0.99213, -0.00787, -0.12598,  1.00, -0.99213,  0.00787, -0.14173, -1.00,  0.08667,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.6549,  0.27451,  0.07059,  0.00
17, 21564, -4.52408, -139.50258,  32.98019, -0.99213, -0.00787, -0.12598,  1.00, -0.99213, -0.00787, -0.12598,  1.00,  0.07685,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.59216,  0.37255,  0.03529,  0.00
18, 21564, -4.52408, -139.50258,  32.98019, -0.99213, -0.00787, -0.12598,  1.00, -0.99213, -0.00787, -0.12598,  1.00,  0.07685,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.59216,  0.37255,  0.03529,  0.00
19, 21565, -4.27233, -148.9001,  31.55249, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.11811, -1.00,  0.06764,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.53725,  0.45098,  0.01176,  0.00
20, 21563, -4.27231, -139.48967,  31.05624, -0.99213, -0.00787, -0.12598,  1.00, -0.99213, -0.00787, -0.12598,  1.00,  0.07676,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.59216,  0.37255,  0.03529,  0.00
21, 21566, -4.52408, -148.89464,  33.47176, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.11811, -1.00,  0.06733,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.53725,  0.45098,  0.01176,  0.00
22, 21565, -4.27233, -148.9001,  31.55249, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.11811, -1.00,  0.06764,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.53725,  0.45098,  0.01176,  0.00
23, 21564, -4.52408, -139.50258,  32.98019, -0.99213, -0.00787, -0.12598,  1.00, -0.99213, -0.00787, -0.12598,  1.00,  0.07685,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.59216,  0.37255,  0.03529,  0.00
24, 21567, -4.52408, -153.26303,  33.7004, -0.99213, -0.00787, -0.12598,  1.00, -0.99213, -0.00787, -0.09449, -1.00,  0.0629,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.51373,  0.48627,  0.00,  0.00
25, 21565, -4.27233, -148.9001,  31.55249, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.11811, -1.00,  0.06764,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.53725,  0.45098,  0.01176,  0.00
26, 21566, -4.52408, -148.89464,  33.47176, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.11811, -1.00,  0.06733,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.53725,  0.45098,  0.01176,  0.00
27, 21567, -4.52408, -153.26303,  33.7004, -0.99213, -0.00787, -0.12598,  1.00, -0.99213, -0.00787, -0.09449, -1.00,  0.0629,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.51373,  0.48627,  0.00,  0.00
28, 21568, -4.27235, -158.31055,  32.04874, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.10236, -1.00,  0.05852,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.54118,  0.45882,  0.00,  0.00
29, 21565, -4.27233, -148.9001,  31.55249, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.11811, -1.00,  0.06764,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.53725,  0.45098,  0.01176,  0.00
30, 21569, -4.53406, -155.77113,  33.79187, -1.00,  0.00, -0.08661,  1.00, -1.00,  0.00, -0.07087,  1.00,  0.05852,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.5098,  0.4902,  0.00,  0.00
31, 21568, -4.27235, -158.31055,  32.04874, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.10236, -1.00,  0.05852,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.54118,  0.45882,  0.00,  0.00
32, 21567, -4.52408, -153.26303,  33.7004, -0.99213, -0.00787, -0.12598,  1.00, -0.99213, -0.00787, -0.09449, -1.00,  0.0629,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.51373,  0.48627,  0.00,  0.00
33, 21567, -4.52408, -153.26303,  33.7004, -0.99213, -0.00787, -0.12598,  1.00, -0.99213, -0.00787, -0.09449, -1.00,  0.0629,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.51373,  0.48627,  0.00,  0.00
34, 21570, -4.52408, -154.06543,  34.78368, -1.00,  0.00,  0.00787,  1.00, -1.00,  0.00, -0.0315,  1.00,  0.0629,  0.68598,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.5098,  0.4902,  0.00,  0.00
35, 21569, -4.53406, -155.77113,  33.79187, -1.00,  0.00, -0.08661,  1.00, -1.00,  0.00, -0.07087,  1.00,  0.05852,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.5098,  0.4902,  0.00,  0.00
36, 21571, -4.52408, -157.0184,  34.92276, -1.00,  0.00,  0.00787,  1.00, -1.00,  0.00, -0.03937, -1.00,  0.05412,  0.68598,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.52549,  0.47451,  0.00,  0.00
37, 21569, -4.53406, -155.77113,  33.79187, -1.00,  0.00, -0.08661,  1.00, -1.00,  0.00, -0.07087,  1.00,  0.05852,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.5098,  0.4902,  0.00,  0.00
38, 21570, -4.52408, -154.06543,  34.78368, -1.00,  0.00,  0.00787,  1.00, -1.00,  0.00, -0.0315,  1.00,  0.0629,  0.68598,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.5098,  0.4902,  0.00,  0.00
39, 21572, -4.52408, -158.20805,  33.97327, -0.99213, -0.00787, -0.12598,  1.00, -1.00, -0.00787, -0.08661, -1.00,  0.05412,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.53725,  0.46275,  0.00,  0.00
40, 21569, -4.53406, -155.77113,  33.79187, -1.00,  0.00, -0.08661,  1.00, -1.00,  0.00, -0.07087,  1.00,  0.05852,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.5098,  0.4902,  0.00,  0.00
41, 21571, -4.52408, -157.0184,  34.92276, -1.00,  0.00,  0.00787,  1.00, -1.00,  0.00, -0.03937, -1.00,  0.05412,  0.68598,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.52549,  0.47451,  0.00,  0.00
42, 21568, -4.27235, -158.31055,  32.04874, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.10236, -1.00,  0.05852,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.54118,  0.45882,  0.00,  0.00
43, 21569, -4.53406, -155.77113,  33.79187, -1.00,  0.00, -0.08661,  1.00, -1.00,  0.00, -0.07087,  1.00,  0.05852,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.5098,  0.4902,  0.00,  0.00
44, 21572, -4.52408, -158.20805,  33.97327, -0.99213, -0.00787, -0.12598,  1.00, -1.00, -0.00787, -0.08661, -1.00,  0.05412,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.53725,  0.46275,  0.00,  0.00
45, 21572, -4.52408, -158.20805,  33.97327, -0.99213, -0.00787, -0.12598,  1.00, -1.00, -0.00787, -0.08661, -1.00,  0.05412,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.53725,  0.46275,  0.00,  0.00
46, 21573, -4.52408, -166.70758,  34.39238, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.11811,  1.00,  0.04414,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.63137,  0.36863,  0.00,  0.00
47, 21568, -4.27235, -158.31055,  32.04874, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.10236, -1.00,  0.05852,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.54118,  0.45882,  0.00,  0.00
48, 21568, -4.27235, -158.31055,  32.04874, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.10236, -1.00,  0.05852,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.54118,  0.45882,  0.00,  0.00
49, 21573, -4.52408, -166.70758,  34.39238, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.11811,  1.00,  0.04414,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.63137,  0.36863,  0.00,  0.00
50, 21574, -4.27235, -166.44214,  32.4745, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.12598,  1.00,  0.04669,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.62745,  0.37255,  0.00,  0.00
51, 21575, -4.52408, -175.20709,  34.8115, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.13386, -1.00,  0.03416,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.71765,  0.28235,  0.00,  0.00
52, 21574, -4.27235, -166.44214,  32.4745, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.12598,  1.00,  0.04669,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.62745,  0.37255,  0.00,  0.00
53, 21573, -4.52408, -166.70758,  34.39238, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.11811,  1.00,  0.04414,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.63137,  0.36863,  0.00,  0.00
54, 21576, -4.27235, -174.57375,  32.90025, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.13386, -1.00,  0.03487,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.71373,  0.28627,  0.00,  0.00
55, 21574, -4.27235, -166.44214,  32.4745, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.12598,  1.00,  0.04669,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.62745,  0.37255,  0.00,  0.00
56, 21575, -4.52408, -175.20709,  34.8115, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.13386, -1.00,  0.03416,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.71765,  0.28235,  0.00,  0.00
57, 21575, -4.52408, -175.20709,  34.8115, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.13386, -1.00,  0.03416,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.71765,  0.28235,  0.00,  0.00
58, 21577, -4.52408, -182.1004,  35.16702, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.13386,  1.00,  0.02835,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.78824,  0.21176,  0.00,  0.00
59, 21576, -4.27235, -174.57375,  32.90025, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.13386, -1.00,  0.03487,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.71373,  0.28627,  0.00,  0.00
60, 21577, -4.52408, -182.1004,  35.16702, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.13386,  1.00,  0.02835,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.78824,  0.21176,  0.00,  0.00
61, 21578, -4.52408, -187.0699,  35.39646, -0.99213, -0.00787, -0.13386,  1.00, -0.98425, -0.05512, -0.18898,  1.00,  0.02668,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.83529,  0.16471,  0.00,  0.00
62, 21576, -4.27235, -174.57375,  32.90025, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.13386, -1.00,  0.03487,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.71373,  0.28627,  0.00,  0.00
63, 21576, -4.27235, -174.57375,  32.90025, -0.99213, -0.00787, -0.13386,  1.00, -0.99213, -0.00787, -0.13386, -1.00,  0.03487,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.71373,  0.28627,  0.00,  0.00
64, 21578, -4.52408, -187.0699,  35.39646, -0.99213, -0.00787, -0.13386,  1.00, -0.98425, -0.05512, -0.18898,  1.00,  0.02668,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.83529,  0.16471,  0.00,  0.00
65, 21579, -4.27235, -185.4064,  33.45134, -0.99213, -0.00787, -0.13386,  1.00, -0.9685, -0.11024, -0.23622,  1.00,  0.02553,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.81569,  0.18431,  0.00,  0.00
66, 21579, -4.27235, -185.4064,  33.45134, -0.99213, -0.00787, -0.13386,  1.00, -0.9685, -0.11024, -0.23622,  1.00,  0.02553,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.81569,  0.18431,  0.00,  0.00
67, 21578, -4.52408, -187.0699,  35.39646, -0.99213, -0.00787, -0.13386,  1.00, -0.98425, -0.05512, -0.18898,  1.00,  0.02668,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.83529,  0.16471,  0.00,  0.00
68, 21580, -4.27235, -193.25238,  33.85048, -0.96063, -0.12598, -0.25197,  1.00, -0.81102, -0.34646, -0.46457,  1.00,  0.01877,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.87451,  0.12549,  0.00,  0.00
69, 21580, -4.27235, -193.25238,  33.85048, -0.96063, -0.12598, -0.25197,  1.00, -0.81102, -0.34646, -0.46457,  1.00,  0.01877,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.87451,  0.12549,  0.00,  0.00
70, 21578, -4.52408, -187.0699,  35.39646, -0.99213, -0.00787, -0.13386,  1.00, -0.98425, -0.05512, -0.18898,  1.00,  0.02668,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.83529,  0.16471,  0.00,  0.00
71, 21581, -4.52408, -191.22978,  35.60158, -0.99213, -0.00787, -0.13386,  1.00, -0.91339, -0.2126, -0.33858,  1.00,  0.02521,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.86667,  0.13333,  0.00,  0.00
72, 21581, -4.52408, -191.22978,  35.60158, -0.99213, -0.00787, -0.13386,  1.00, -0.91339, -0.2126, -0.33858,  1.00,  0.02521,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.86667,  0.13333,  0.00,  0.00
73, 21582, -4.52408, -195.40102,  35.90007, -0.74803, -0.40945, -0.52756,  1.00, -0.64567, -0.48819, -0.59055,  1.00,  0.01873,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.8902,  0.1098,  0.00,  0.00
74, 21580, -4.27235, -193.25238,  33.85048, -0.96063, -0.12598, -0.25197,  1.00, -0.81102, -0.34646, -0.46457,  1.00,  0.01877,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.87451,  0.12549,  0.00,  0.00
75, 21583, -3.50033, -193.25238,  33.85048, -0.07874, -0.68504, -0.72441,  1.00, -0.3937, -0.61417, -0.68504, -1.00,  0.0112,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.87451,  0.12549,  0.00,  0.00
76, 21580, -4.27235, -193.25238,  33.85048, -0.96063, -0.12598, -0.25197,  1.00, -0.81102, -0.34646, -0.46457,  1.00,  0.01877,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.87451,  0.12549,  0.00,  0.00
77, 21582, -4.52408, -195.40102,  35.90007, -0.74803, -0.40945, -0.52756,  1.00, -0.64567, -0.48819, -0.59055,  1.00,  0.01873,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.8902,  0.1098,  0.00,  0.00
78, 21582, -4.52408, -195.40102,  35.90007, -0.74803, -0.40945, -0.52756,  1.00, -0.64567, -0.48819, -0.59055,  1.00,  0.01873,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.8902,  0.1098,  0.00,  0.00
79, 21584, -3.50033, -195.40105,  35.90007, -0.24409, -0.66929, -0.70866,  1.00, -0.23622, -0.65354, -0.71654, -1.00,  0.0111,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.8902,  0.1098,  0.00,  0.00
80, 21583, -3.50033, -193.25238,  33.85048, -0.07874, -0.68504, -0.72441,  1.00, -0.3937, -0.61417, -0.68504, -1.00,  0.0112,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.87451,  0.12549,  0.00,  0.00
81, 21583, -3.50033, -193.25238,  33.85048, -0.07874, -0.68504, -0.72441,  1.00, -0.3937, -0.61417, -0.68504, -1.00,  0.0112,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.87451,  0.12549,  0.00,  0.00
82, 21584, -3.50033, -195.40105,  35.90007, -0.24409, -0.66929, -0.70866,  1.00, -0.23622, -0.65354, -0.71654, -1.00,  0.0111,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.8902,  0.1098,  0.00,  0.00
83, 21585, -2.33194, -196.64447,  36.49033, -0.14961, -0.65354, -0.74016,  1.00, -0.20472, -0.65354, -0.73228, -1.00,  0.00956,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.89804,  0.10196,  0.00,  0.00
84, 21585, -2.33194, -196.64447,  36.49033, -0.14961, -0.65354, -0.74016,  1.00, -0.20472, -0.65354, -0.73228, -1.00,  0.00956,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.89804,  0.10196,  0.00,  0.00
85, 21584, -3.50033, -195.40105,  35.90007, -0.24409, -0.66929, -0.70866,  1.00, -0.23622, -0.65354, -0.71654, -1.00,  0.0111,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.8902,  0.1098,  0.00,  0.00
86, 21586, -2.40704, -199.24385,  38.87056, -0.05512, -0.67717, -0.74016,  1.00, -0.15748, -0.66142, -0.73228, -1.00,  0.00954,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.92157,  0.07843,  0.00,  0.00
87, 21586, -2.40704, -199.24385,  38.87056, -0.05512, -0.67717, -0.74016,  1.00, -0.15748, -0.66142, -0.73228, -1.00,  0.00954,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.92157,  0.07843,  0.00,  0.00
88, 21587,  0.00, -199.31117,  38.83665,  0.00, -0.66142, -0.74803,  1.00,  0.00, -0.66142, -0.74803,  1.00,  0.00242,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.92157,  0.07843,  0.00,  0.00
89, 21585, -2.33194, -196.64447,  36.49033, -0.14961, -0.65354, -0.74016,  1.00, -0.20472, -0.65354, -0.73228, -1.00,  0.00956,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.89804,  0.10196,  0.00,  0.00
90, 21588,  0.00, -196.56981,  36.52129,  0.00, -0.64567, -0.76378,  1.00,  0.00, -0.66142, -0.74803,  1.00,  0.00242,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.89804,  0.10196,  0.00,  0.00
91, 21585, -2.33194, -196.64447,  36.49033, -0.14961, -0.65354, -0.74016,  1.00, -0.20472, -0.65354, -0.73228, -1.00,  0.00956,  0.69591,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.89804,  0.10196,  0.00,  0.00
92, 21587,  0.00, -199.31117,  38.83665,  0.00, -0.66142, -0.74803,  1.00,  0.00, -0.66142, -0.74803,  1.00,  0.00242,  0.68891,  1.00,  1.00,  1.00,  0.00, 2, 1, 0, 0,  0.92157,  0.07843,  0.00,  0.00
93, 21589, -4.11852, -63.51368,  26.72116, -0.97638,  0.09449, -0.17323,  1.00, -0.98425,  0.07874, -0.16535,  1.00,  0.15643,  0.69591,  1.00,  1.00,  1.00,  0.00, 0, 1, 0, 0,  0.51373,  0.48627,  0.00,  0.00
94, 21590, -4.08142, -63.24415,  26.72116, -0.97638,  0.13386, -0.1811,  1.00, -0.98425,  0.09449, -0.16535,  1.00,  0.1578,  0.69591,  1.00,  1.00,  1.00,  0.00, 0, 1, 0, 0,  0.51765,  0.48235,  0.00,  0.00
95, 21591, -4.56683, -63.19708,  29.39461, -0.99213, -0.00787, -0.13386,  1.00, -0.98425,  0.06299, -0.15748, -1.00,  0.1578,  0.68891,  1.00,  1.00,  1.00,  0.00, 0, 1, 0, 0,  0.52157,  0.47843,  0.00,  0.00
96, 21592, -4.27164, -64.24753,  27.24588, -0.99213,  0.00, -0.12598,  1.00, -0.99213,  0.0315, -0.14173, -1.00,  0.15358,  0.69591,  1.00,  1.00,  1.00,  0.00, 0, 1, 0, 0,  0.5098,  0.4902,  0.00,  0.00
97, 21589, -4.11852, -63.51368,  26.72116, -0.97638,  0.09449, -0.17323,  1.00, -0.98425,  0.07874, -0.16535,  1.00,  0.15643,  0.69591,  1.00,  1.00,  1.00,  0.00, 0, 1, 0, 0,  0.51373,  0.48627,  0.00,  0.00
