VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE7.x, ATTRIBUTE7.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w
10, 8, -7.26147,  2.46563,  11.11247,  0.88976,  0.22047,  0.3937,  1.00,  0.85827,  0.43307,  0.26772,  1.00,  0.35292,  0.96388,  0.1338,  0.10498,  0.35292,  0.96388,  1.00,  0.20,  1.00,  0.49804, 10, 12, 11, 0, 0, 0, 0, 0,  0.60392,  0.33725,  0.05882,  0.00,  0.00,  0.00,  0.00,  0.00
11, 7, -6.44939,  0.37914,  10.45266,  0.95276,  0.29134,  0.09449,  1.00,  0.96063,  0.22047,  0.1811, -1.00,  0.36143,  0.97103,  0.20348,  0.15722,  0.36143,  0.97103,  1.00,  0.20,  1.00,  0.49804, 12, 11, 0, 0, 0, 0, 0, 0,  0.84314,  0.15686,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
12, 10, -16.7627,  14.99054,  0.82326, -0.99213,  0.02362, -0.13386,  1.00, -0.99213, -0.00787, -0.11024,  1.00,  0.49475,  0.90512,  0.6555,  0.32312,  0.49475,  0.90512,  1.00,  0.20,  1.00,  0.49804, 10, 20, 0, 0, 0, 0, 0, 0,  0.70196,  0.29804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
13, 11, -16.55326,  12.39893,  1.93275, -0.87402,  0.04724,  0.48819,  1.00, -0.90551, -0.06299,  0.41732,  1.00,  0.4805,  0.90448,  0.62612,  0.427,  0.4805,  0.90448,  1.00,  0.20,  1.00,  0.49804, 10, 20, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
14, 12, -16.78418,  12.46131,  0.89266, -0.97638, -0.05512, -0.2126,  1.00, -0.9685, -0.17323, -0.17323,  1.00,  0.4805,  0.90512,  0.59673,  0.39704,  0.4805,  0.90512,  1.00,  0.20,  1.00,  0.49804, 10, 20, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
15, 13, -16.47601,  14.95693,  1.716, -0.86614,  0.09449,  0.48819,  1.00, -0.91339,  0.06299,  0.40157,  1.00,  0.49475,  0.90448,  0.68535,  0.34723,  0.49475,  0.90448,  1.00,  0.20,  1.00,  0.49804, 10, 20, 0, 0, 0, 0, 0, 0,  0.70196,  0.29804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
16, 11, -16.55326,  12.39893,  1.93275, -0.87402,  0.04724,  0.48819,  1.00, -0.90551, -0.06299,  0.41732,  1.00,  0.4805,  0.90448,  0.62612,  0.427,  0.4805,  0.90448,  1.00,  0.20,  1.00,  0.49804, 10, 20, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
17, 10, -16.7627,  14.99054,  0.82326, -0.99213,  0.02362, -0.13386,  1.00, -0.99213, -0.00787, -0.11024,  1.00,  0.49475,  0.90512,  0.6555,  0.32312,  0.49475,  0.90512,  1.00,  0.20,  1.00,  0.49804, 10, 20, 0, 0, 0, 0, 0, 0,  0.70196,  0.29804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
18, 14, -11.52902,  10.33346,  0.30261,  0.24409, -0.11024, -0.96063,  1.00,  0.05512, -0.01575, -1.00,  1.00,  0.45253,  0.92347,  1.00,  1.00,  0.45253,  0.92347,  1.00,  0.20,  1.00,  0.49804, 10, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
19, 15, -12.51503,  8.30144,  0.22666,  0.06299, -0.07087, -0.99213,  1.00,  0.00,  0.00, -1.00,  1.00,  0.45325,  0.93771,  1.00,  1.00,  0.45325,  0.93771,  1.00,  0.20,  1.00,  0.49804, 10, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
20, 16, -10.2259,  10.33346,  0.51294,  0.08661, -0.06299, -0.99213,  1.00,  0.00,  0.00, -1.00,  1.00,  0.45949,  0.91987,  1.00,  1.00,  0.45949,  0.91987,  1.00,  0.20,  1.00,  0.49804, 10, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
21, 17, -10.22625,  12.45794,  0.28181,  0.10236, -0.16535, -0.98425,  1.00,  0.00,  0.00, -1.00,  1.00,  0.45339,  0.90838,  1.00,  1.00,  0.45339,  0.90838,  0.98824,  0.20,  1.00,  0.49804, 10, 20, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
22, 14, -11.52902,  10.33346,  0.30261,  0.24409, -0.11024, -0.96063,  1.00,  0.05512, -0.01575, -1.00,  1.00,  0.45253,  0.92347,  1.00,  1.00,  0.45253,  0.92347,  1.00,  0.20,  1.00,  0.49804, 10, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
23, 16, -10.2259,  10.33346,  0.51294,  0.08661, -0.06299, -0.99213,  1.00,  0.00,  0.00, -1.00,  1.00,  0.45949,  0.91987,  1.00,  1.00,  0.45949,  0.91987,  1.00,  0.20,  1.00,  0.49804, 10, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
24, 18, -5.38106,  8.30144,  4.91813,  0.97638, -0.12598,  0.16535,  1.00,  0.95276, -0.14173,  0.25197, -1.00,  0.47899,  0.97891,  1.00,  1.00,  0.47899,  0.97891,  1.00,  0.20,  1.00,  0.49804, 10, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
25, 19, -6.20481,  5.76269,  7.06813,  0.96063,  0.00787,  0.27559,  1.00,  0.85827,  0.0315,  0.51181, -1.00,  0.49444,  0.98539,  1.00,  1.00,  0.49444,  0.98539,  1.00,  0.20,  1.00,  0.49804, 10, 12, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
26, 20, -6.02052,  8.30144,  6.97365,  0.87402,  0.03937,  0.48031,  1.00,  0.85827,  0.02362,  0.51181, -1.00,  0.47899,  0.98221,  1.00,  1.00,  0.47899,  0.98221,  1.00,  0.20,  1.00,  0.49804, 10, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
27, 19, -6.20481,  5.76269,  7.06813,  0.96063,  0.00787,  0.27559,  1.00,  0.85827,  0.0315,  0.51181, -1.00,  0.49444,  0.98539,  1.00,  1.00,  0.49444,  0.98539,  1.00,  0.20,  1.00,  0.49804, 10, 12, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
28, 18, -5.38106,  8.30144,  4.91813,  0.97638, -0.12598,  0.16535,  1.00,  0.95276, -0.14173,  0.25197, -1.00,  0.47899,  0.97891,  1.00,  1.00,  0.47899,  0.97891,  1.00,  0.20,  1.00,  0.49804, 10, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
29, 21, -5.90762,  5.63765,  5.32896,  0.99213, -0.11811,  0.07087,  1.00,  0.98425, -0.12598,  0.15748, -1.00,  0.49444,  0.98048,  1.00,  1.00,  0.49444,  0.98048,  1.00,  0.20,  1.00,  0.49804, 10, 32, 0, 0, 0, 0, 0, 0,  0.87451,  0.12549,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
30, 22,  5.90762,  5.63765,  5.32896, -0.97638, -0.20472,  0.08661,  1.00, -0.98425, -0.12598,  0.15748,  1.00,  0.49444,  0.98048,  1.00,  1.00,  0.49444,  0.98048,  1.00,  0.40,  1.00,  0.49804, 35, 37, 0, 0, 0, 0, 0, 0,  0.87451,  0.12549,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
31, 23,  5.38106,  8.30144,  4.91813, -0.97638, -0.12598,  0.16535,  1.00, -0.95276, -0.14173,  0.25197,  1.00,  0.47899,  0.97891,  1.00,  1.00,  0.47899,  0.97891,  1.00,  0.40,  1.00,  0.49804, 35, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
32, 24,  6.20481,  5.76269,  7.06813, -0.92913, -0.07874,  0.37008,  1.00, -0.85827,  0.0315,  0.51181,  1.00,  0.49444,  0.98539,  1.00,  1.00,  0.49444,  0.98539,  1.00,  0.40,  1.00,  0.49804, 35, 36, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
33, 25,  6.02052,  8.30144,  6.97365, -0.87402,  0.03937,  0.48031,  1.00, -0.85827,  0.02362,  0.51181,  1.00,  0.47899,  0.98221,  1.00,  1.00,  0.47899,  0.98221,  1.00,  0.40,  1.00,  0.49804, 35, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
34, 24,  6.20481,  5.76269,  7.06813, -0.92913, -0.07874,  0.37008,  1.00, -0.85827,  0.0315,  0.51181,  1.00,  0.49444,  0.98539,  1.00,  1.00,  0.49444,  0.98539,  1.00,  0.40,  1.00,  0.49804, 35, 36, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
35, 23,  5.38106,  8.30144,  4.91813, -0.97638, -0.12598,  0.16535,  1.00, -0.95276, -0.14173,  0.25197,  1.00,  0.47899,  0.97891,  1.00,  1.00,  0.47899,  0.97891,  1.00,  0.40,  1.00,  0.49804, 35, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
36, 26,  10.2259,  10.33346,  0.51294, -0.08661, -0.06299, -0.99213,  1.00,  0.00,  0.00, -1.00, -1.00,  0.45949,  0.91987,  1.00,  1.00,  0.45949,  0.91987,  1.00,  0.40,  1.00,  0.49804, 35, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
37, 27,  11.52902,  10.33346,  0.30261, -0.24409, -0.11024, -0.96063,  1.00, -0.05512, -0.01575, -1.00, -1.00,  0.45253,  0.92347,  1.00,  1.00,  0.45253,  0.92347,  1.00,  0.40,  1.00,  0.49804, 35, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
38, 28,  10.22625,  12.45794,  0.28181, -0.10236, -0.16535, -0.98425,  1.00,  0.00,  0.00, -1.00, -1.00,  0.45339,  0.90838,  1.00,  1.00,  0.45339,  0.90838,  0.98824,  0.40,  1.00,  0.49804, 35, 33, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
39, 26,  10.2259,  10.33346,  0.51294, -0.08661, -0.06299, -0.99213,  1.00,  0.00,  0.00, -1.00, -1.00,  0.45949,  0.91987,  1.00,  1.00,  0.45949,  0.91987,  1.00,  0.40,  1.00,  0.49804, 35, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
40, 29,  12.51503,  8.30144,  0.22666, -0.06299, -0.07087, -0.99213,  1.00,  0.00,  0.00, -1.00, -1.00,  0.45325,  0.93771,  1.00,  1.00,  0.45325,  0.93771,  1.00,  0.40,  1.00,  0.49804, 35, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
41, 27,  11.52902,  10.33346,  0.30261, -0.24409, -0.11024, -0.96063,  1.00, -0.05512, -0.01575, -1.00, -1.00,  0.45253,  0.92347,  1.00,  1.00,  0.45253,  0.92347,  1.00,  0.40,  1.00,  0.49804, 35, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
42, 30,  16.78418,  12.46131,  0.89266,  0.97638, -0.05512, -0.2126,  1.00,  0.9685, -0.17323, -0.17323, -1.00,  0.4805,  0.90512,  0.59673,  0.39704,  0.4805,  0.90512,  1.00,  0.40,  1.00,  0.49804, 35, 33, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
43, 31,  16.55326,  12.39893,  1.93275,  0.87402,  0.04724,  0.48819,  1.00,  0.90551, -0.06299,  0.41732, -1.00,  0.4805,  0.90448,  0.62612,  0.427,  0.4805,  0.90448,  1.00,  0.40,  1.00,  0.49804, 35, 33, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
44, 32,  16.7627,  14.99054,  0.82326,  0.99213,  0.02362, -0.13386,  1.00,  0.99213, -0.00787, -0.11024, -1.00,  0.49475,  0.90512,  0.6555,  0.32312,  0.49475,  0.90512,  1.00,  0.40,  1.00,  0.49804, 35, 33, 0, 0, 0, 0, 0, 0,  0.70196,  0.29804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
45, 33,  16.47601,  14.95693,  1.716,  0.86614,  0.09449,  0.48819,  1.00,  0.91339,  0.06299,  0.40157, -1.00,  0.49475,  0.90448,  0.68535,  0.34723,  0.49475,  0.90448,  1.00,  0.40,  1.00,  0.49804, 35, 33, 0, 0, 0, 0, 0, 0,  0.70196,  0.29804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
46, 32,  16.7627,  14.99054,  0.82326,  0.99213,  0.02362, -0.13386,  1.00,  0.99213, -0.00787, -0.11024, -1.00,  0.49475,  0.90512,  0.6555,  0.32312,  0.49475,  0.90512,  1.00,  0.40,  1.00,  0.49804, 35, 33, 0, 0, 0, 0, 0, 0,  0.70196,  0.29804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
47, 31,  16.55326,  12.39893,  1.93275,  0.87402,  0.04724,  0.48819,  1.00,  0.90551, -0.06299,  0.41732, -1.00,  0.4805,  0.90448,  0.62612,  0.427,  0.4805,  0.90448,  1.00,  0.40,  1.00,  0.49804, 35, 33, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
48, 34, -6.56225,  0.19703,  11.39137,  0.92126,  0.28346,  0.25197,  1.00,  0.96063,  0.23622,  0.16535, -1.00,  0.36069,  0.96359,  0.21652,  0.09899,  0.36069,  0.96359,  1.00,  0.20,  1.00,  0.49804, 12, 11, 0, 0, 0, 0, 0, 0,  0.84314,  0.15686,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
49, 35, -6.79577, -0.19677,  12.40717,  0.88976,  0.25984,  0.37795,  1.00,  0.96063,  0.23622,  0.16535, -1.00,  0.36094,  0.95759,  0.23038,  0.02057,  0.36094,  0.95759,  1.00,  0.20,  1.00,  0.49804, 12, 11, 0, 0, 0, 0, 0, 0,  0.81176,  0.18824,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
50, 36, -7.26147,  2.46563,  11.11247,  0.88976,  0.22047,  0.3937,  1.00,  0.85827,  0.43307,  0.26772,  1.00,  0.35238,  0.96359,  0.1338,  0.10498,  0.35238,  0.96359,  1.00,  0.20,  1.00,  0.49804, 10, 12, 11, 0, 0, 0, 0, 0,  0.60392,  0.33725,  0.05882,  0.00,  0.00,  0.00,  0.00,  0.00
51, 36, -7.26147,  2.46563,  11.11247,  0.88976,  0.22047,  0.3937,  1.00,  0.85827,  0.43307,  0.26772,  1.00,  0.35238,  0.96359,  0.1338,  0.10498,  0.35238,  0.96359,  1.00,  0.20,  1.00,  0.49804, 10, 12, 11, 0, 0, 0, 0, 0,  0.60392,  0.33725,  0.05882,  0.00,  0.00,  0.00,  0.00,  0.00
52, 35, -6.79577, -0.19677,  12.40717,  0.88976,  0.25984,  0.37795,  1.00,  0.96063,  0.23622,  0.16535, -1.00,  0.36094,  0.95759,  0.23038,  0.02057,  0.36094,  0.95759,  1.00,  0.20,  1.00,  0.49804, 12, 11, 0, 0, 0, 0, 0, 0,  0.81176,  0.18824,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
53, 37, -7.52193,  1.39551,  12.91604,  0.88189,  0.37008,  0.28346,  1.00,  0.94488,  0.31496,  0.00787, -1.00,  0.3537,  0.9516,  0.1562, -0.02693,  0.3537,  0.9516,  1.00,  0.20,  1.00,  0.49804, 12, 11, 10, 0, 0, 0, 0, 0,  0.69412,  0.20784,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00
54, 38, -13.42574,  20.43295,  0.39565, -0.08661, -0.07087, -0.99213,  1.00,  0.00,  0.00, -1.00, -1.00,  0.13459,  0.98273,  1.00,  1.00,  0.13459,  0.98273,  1.00,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
55, 39, -13.71951,  20.02422,  0.50838, -0.20472,  0.03937, -0.97638,  1.00, -0.67717,  0.16535, -0.71654,  1.00,  0.13241,  0.98303,  1.00,  1.00,  0.13241,  0.98303,  0.49804,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
56, 40, -13.81589,  18.9942,  0.46906,  0.03937,  0.25197, -0.9685,  1.00,  0.00,  0.00, -1.00,  1.00,  0.13263,  0.98775,  1.00,  1.00,  0.13263,  0.98775,  0.59216,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
57, 38, -13.42574,  20.43295,  0.39565, -0.08661, -0.07087, -0.99213,  1.00,  0.00,  0.00, -1.00, -1.00,  0.13459,  0.98273,  1.00,  1.00,  0.13459,  0.98273,  1.00,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
58, 40, -13.81589,  18.9942,  0.46906,  0.03937,  0.25197, -0.9685,  1.00,  0.00,  0.00, -1.00,  1.00,  0.13263,  0.98775,  1.00,  1.00,  0.13263,  0.98775,  0.59216,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
59, 41, -12.73521,  20.63853,  0.39913,  0.13386, -0.15748, -0.97638,  1.00,  0.00,  0.00, -1.00,  1.00,  0.13774,  0.98212,  1.00,  1.00,  0.13774,  0.98212,  1.00,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
60, 42, -11.92208,  20.06167,  0.60926, -0.13386,  0.30709, -0.94488,  1.00,  0.00,  0.00, -1.00,  1.00,  0.14315,  0.98909,  1.00,  1.00,  0.14315,  0.98909,  0.59216,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
61, 41, -12.73521,  20.63853,  0.39913,  0.13386, -0.15748, -0.97638,  1.00,  0.00,  0.00, -1.00,  1.00,  0.13774,  0.98212,  1.00,  1.00,  0.13774,  0.98212,  1.00,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
62, 40, -13.81589,  18.9942,  0.46906,  0.03937,  0.25197, -0.9685,  1.00,  0.00,  0.00, -1.00,  1.00,  0.13263,  0.98775,  1.00,  1.00,  0.13263,  0.98775,  0.59216,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
63, 43, -12.06872,  21.02689,  0.47933,  0.37795, -0.13386, -0.91339,  1.00,  0.00,  0.00, -1.00,  1.00,  0.14088,  0.98285,  1.00,  1.00,  0.14088,  0.98285,  1.00,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
64, 41, -12.73521,  20.63853,  0.39913,  0.13386, -0.15748, -0.97638,  1.00,  0.00,  0.00, -1.00,  1.00,  0.13774,  0.98212,  1.00,  1.00,  0.13774,  0.98212,  1.00,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
65, 42, -11.92208,  20.06167,  0.60926, -0.13386,  0.30709, -0.94488,  1.00,  0.00,  0.00, -1.00,  1.00,  0.14315,  0.98909,  1.00,  1.00,  0.14315,  0.98909,  0.59216,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
66, 44, -11.73267,  21.38404,  0.69413, -0.08661,  0.09449, -0.99213,  1.00,  0.00,  0.00, -1.00, -1.00,  0.14289,  0.98303,  1.00,  1.00,  0.14289,  0.98303,  0.49804,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
67, 43, -12.06872,  21.02689,  0.47933,  0.37795, -0.13386, -0.91339,  1.00,  0.00,  0.00, -1.00,  1.00,  0.14088,  0.98285,  1.00,  1.00,  0.14088,  0.98285,  1.00,  0.20,  1.00,  0.49804, 20, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
