VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w
10, 26971,  7.86132,  11.99395,  96.80864, -0.85827,  0.27559, -0.4252,  1.00, -0.79528,  0.25197, -0.55118,  1.00,  0.66312,  0.34216,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 1, 0, 0,  0.5098,  0.4902,  0.00,  0.00
11, 26972,  9.14909,  11.59017,  94.23399, -0.92913,  0.07087, -0.3622,  1.00, -0.48819,  0.7874, -0.37008,  1.00,  0.66311,  0.34215,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
12, 26973,  9.20969,  12.2292,  94.52625, -0.88189,  0.20472, -0.41732,  1.00, -0.77165, -0.40157, -0.49606, -1.00,  0.66311,  0.34216,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 5, 0, 0,  0.96471,  0.03529,  0.00,  0.00
13, 26974,  7.86132,  11.99395,  96.80864, -0.85827,  0.27559, -0.4252,  1.00, -0.79528,  0.25197, -0.55118, -1.00,  0.66312,  0.34216,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 1, 0, 0,  0.5098,  0.4902,  0.00,  0.00
14, 26975,  9.32783,  11.88151,  94.62136, -0.84252,  0.37795, -0.38583,  1.00, -0.79528,  0.25197, -0.55118, -1.00,  0.66311,  0.34216,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 5, 0, 0,  0.96863,  0.03137,  0.00,  0.00
15, 26976,  14.89007, -15.15897,  96.77132, -0.48031, -0.6063, -0.6378,  1.00, -0.5748, -0.56693, -0.59055, -1.00,  0.6635,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
16, 26977,  14.71782, -15.55715,  97.13619, -0.44882, -0.67717, -0.58268,  1.00, -0.75591, -0.23622, -0.61417,  1.00,  0.66349,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
17, 26978,  15.96187, -14.65315,  95.25106, -0.29921, -0.73228, -0.61417,  1.00, -0.5748, -0.56693, -0.59055, -1.00,  0.66351,  0.34211,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 8, 0, 0,  0.80,  0.20,  0.00,  0.00
18, 26979,  22.92964, -8.13536,  91.54545, -0.02362,  0.73228,  0.67717,  1.00,  0.53543,  0.00787,  0.84252,  1.00,  0.66354,  0.34214,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 8, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
19, 26980,  23.55075, -7.5306,  91.14771,  0.00,  0.49606,  0.87402,  1.00,  0.00787,  0.32283,  0.94488,  1.00,  0.66355,  0.34214,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 2, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
20, 26981,  23.1186, -8.34713,  91.4279,  0.20472,  0.68504,  0.70079,  1.00,  0.00787,  0.32283,  0.94488,  1.00,  0.66354,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 8, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
21, 26982,  13.19131, -14.99163,  100.14669, -0.74803, -0.66142,  0.00787,  1.00, -0.73228, -0.64567, -0.22047,  1.00,  0.66349,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
22, 26983,  12.85719, -14.92089,  101.03173, -0.74016, -0.66929, -0.04724,  1.00, -0.73228, -0.64567, -0.22047,  1.00,  0.66349,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
23, 26984,  13.35867, -15.41379,  99.85571, -0.66929, -0.70866,  0.22835,  1.00, -0.92913, -0.13386, -0.33858,  1.00,  0.66349,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
24, 26985,  23.22553,  5.01215,  91.35843, -0.14961,  0.65354,  0.74016,  1.00, -0.31496,  0.75591,  0.56693, -1.00,  0.66302,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
25, 26986,  23.55075,  4.5509,  92.15668, -0.10236,  0.75591,  0.65354,  1.00, -0.31496,  0.75591,  0.56693, -1.00,  0.66302,  0.34222,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 2, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
26, 26987,  22.5782,  5.19927,  91.37088, -0.2126,  0.41732,  0.88189,  1.00,  0.25984,  0.88189,  0.40157,  1.00,  0.66303,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
27, 26988,  23.22553,  5.01215,  91.35843, -0.14961,  0.65354,  0.74016,  1.00, -0.31496,  0.75591,  0.56693,  1.00,  0.66302,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
28, 26989,  23.31009,  5.60375,  91.08188,  0.15748,  0.7874,  0.59843,  1.00, -0.77953,  0.35433,  0.51969, -1.00,  0.66303,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
29, 26990,  23.55075,  4.5509,  92.15668, -0.10236,  0.75591,  0.65354,  1.00, -0.31496,  0.75591,  0.56693, -1.00,  0.66302,  0.34222,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 2, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
30, 26991,  23.24072,  3.50057,  89.73595, -0.00787, -0.43307, -0.89764,  1.00, -0.37795,  0.08661, -0.92126,  1.00,  0.66302,  0.34216,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
31, 26992,  23.55075,  3.08236,  89.57159, -0.19685, -0.17323, -0.9685,  1.00, -0.37795,  0.08661, -0.92126,  1.00,  0.66302,  0.34215,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 2, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
32, 26993,  23.32337,  3.93942,  89.28917,  0.37008, -0.40945, -0.83465,  1.00, -0.77165, -0.37008, -0.51181, -1.00,  0.66303,  0.34215,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
33, 26994,  23.24072,  3.50057,  89.73595, -0.00787, -0.43307, -0.89764,  1.00, -0.37795,  0.08661, -0.92126, -1.00,  0.66302,  0.34216,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
34, 26995,  22.60513,  3.5283,  89.57817, -0.27559, -0.62992, -0.72441,  1.00,  0.22835,  0.49606, -0.83465,  1.00,  0.66303,  0.34215,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
35, 26996,  23.55075,  3.08236,  89.57159, -0.19685, -0.17323, -0.9685,  1.00, -0.37795,  0.08661, -0.92126, -1.00,  0.66302,  0.34215,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 2, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
36, 26997,  9.49508,  12.18453,  99.49458,  0.91339, -0.19685,  0.34646,  1.00,  0.47244, -0.74803,  0.47244,  1.00,  0.66312,  0.34222,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
37, 26998,  10.33027,  11.52543,  97.60814,  0.8189, -0.22047,  0.52756,  1.00,  0.74016, -0.2126,  0.62992,  1.00,  0.66311,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 1, 0, 0,  0.51765,  0.48235,  0.00,  0.00
38, 26999,  9.21499,  11.67257,  98.96689,  0.84252, -0.23622,  0.48031,  1.00,  0.74016, -0.2126,  0.62992,  1.00,  0.66311,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
39, 27000,  9.21862,  11.05902,  99.40471,  0.85827, -0.18898,  0.47244,  1.00,  0.73228,  0.40157,  0.55118,  1.00,  0.66312,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
40, 27001,  9.21499,  11.67257,  98.96689,  0.84252, -0.23622,  0.48031,  1.00,  0.74016, -0.2126,  0.62992, -1.00,  0.66311,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
41, 27002,  10.33027,  11.52543,  97.60814,  0.8189, -0.22047,  0.52756,  1.00,  0.74016, -0.2126,  0.62992, -1.00,  0.66311,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 1, 0, 0,  0.51765,  0.48235,  0.00,  0.00
42, 27003,  11.12778,  11.32699,  92.13539, -0.44094,  0.00787, -0.89764,  1.00, -0.3937,  0.64567, -0.65354, -1.00,  0.6631,  0.34215,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
43, 27004,  13.14485,  11.30247,  90.88754, -0.44094,  0.25984, -0.85827,  1.00, -0.55118,  0.28346, -0.77953, -1.00,  0.66307,  0.34216,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 0, 0, 0,  0.80,  0.20,  0.00,  0.00
44, 27005,  11.3322,  11.58837,  92.26981, -0.35433,  0.25197, -0.89764,  1.00, -0.55118,  0.28346, -0.77953, -1.00,  0.6631,  0.34216,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
45, 27006,  13.40183,  11.45933,  94.10889,  0.74803, -0.00787,  0.66142,  1.00,  0.43307, -0.53543,  0.72441,  1.00,  0.6631,  0.34222,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
46, 27007,  15.34664,  10.81846,  92.47826,  0.51969, -0.13386,  0.84252,  1.00,  0.56693, -0.13386,  0.81102, -1.00,  0.66307,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 0, 0, 0,  0.80,  0.20,  0.00,  0.00
47, 27008,  13.28164,  11.18589,  93.97932,  0.75591, -0.13386,  0.6378,  1.00,  0.56693, -0.13386,  0.81102,  1.00,  0.6631,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
48, 27009,  21.35673,  7.54915,  90.49219,  0.13386,  0.28346,  0.94488,  1.00,  0.2126,  0.05512,  0.97638, -1.00,  0.66304,  0.3422,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
49, 27010,  20.49793,  8.40399,  90.63254,  0.22047,  0.10236,  0.9685,  1.00,  0.2126,  0.05512,  0.97638, -1.00,  0.66306,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 1, 0, 0,  0.80,  0.20,  0.00,  0.00
50, 27011,  22.00399,  7.35811,  90.4629,  0.48031,  0.5748,  0.66929,  1.00, -0.00787, -0.16535,  0.98425, -1.00,  0.66304,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
51, 27012,  21.35673,  7.54915,  90.49219,  0.13386,  0.28346,  0.94488,  1.00,  0.2126,  0.05512,  0.97638,  1.00,  0.66304,  0.3422,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
52, 27013,  21.25308,  6.96287,  90.71927, -0.20472,  0.14173,  0.9685,  1.00,  0.40945,  0.26772,  0.87402,  1.00,  0.66304,  0.3422,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
53, 27014,  20.49793,  8.40399,  90.63254,  0.22047,  0.10236,  0.9685,  1.00,  0.2126,  0.05512,  0.97638,  1.00,  0.66306,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 0, 1, 0, 0,  0.80,  0.20,  0.00,  0.00
54, 27015,  14.89007, -15.15897,  96.77132, -0.48031, -0.6063, -0.6378,  1.00, -0.5748, -0.56693, -0.59055,  1.00,  0.6635,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
55, 27016,  15.96187, -14.65315,  95.25106, -0.29921, -0.73228, -0.61417,  1.00, -0.5748, -0.56693, -0.59055,  1.00,  0.66351,  0.34211,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 8, 0, 0,  0.80,  0.20,  0.00,  0.00
56, 27017,  14.26232, -15.0227,  96.94401, -0.52756, -0.48031, -0.70079,  1.00, -0.31496, -0.81102, -0.48819,  1.00,  0.66349,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
57, 27018,  12.43842, -14.59283,  103.52436, -0.82677, -0.56693, -0.03937,  1.00, -0.70079, -0.71654, -0.02362,  1.00,  0.66347,  0.34211,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
58, 27019,  12.73734, -14.88994,  103.72901, -0.66142, -0.74803,  0.00,  1.00, -0.70079, -0.71654, -0.02362, -1.00,  0.66347,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
59, 27020,  12.85719, -14.92089,  101.03173, -0.74016, -0.66929, -0.04724,  1.00, -0.70079, -0.71654, -0.02362,  1.00,  0.66349,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
60, 27021,  15.83763, -14.15751,  98.00952,  0.29921,  0.5748,  0.75591,  1.00,  0.19685,  0.51181,  0.83465,  1.00,  0.6635,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
61, 27022,  15.46123, -13.94458,  98.14488,  0.28346,  0.55906,  0.77953,  1.00,  0.43307,  0.22047,  0.87402, -1.00,  0.6635,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
62, 27023,  17.00099, -13.30736,  97.21641,  0.18898,  0.66929,  0.71654,  1.00,  0.19685,  0.51181,  0.83465,  1.00,  0.66351,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 8, 0, 0,  0.80,  0.20,  0.00,  0.00
63, 27024,  23.25931, -9.78196,  89.09053,  0.24409, -0.49606, -0.83465,  1.00, -0.6063, -0.30709, -0.73228, -1.00,  0.66354,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 8, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
64, 27025,  23.55075, -9.0189,  88.52783,  0.00787, -0.6063, -0.79528,  1.00, -0.12598, -0.69291, -0.70866, -1.00,  0.66355,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 2, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
65, 27026,  23.06938, -9.59484,  89.16952,  0.17323, -0.37795, -0.91339,  1.00, -0.12598, -0.69291, -0.70866, -1.00,  0.66354,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 8, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
66, 27027,  23.06938, -9.59484,  89.16952,  0.17323, -0.37795, -0.91339,  1.00, -0.12598, -0.69291, -0.70866,  1.00,  0.66354,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 8, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
67, 27028,  23.55075, -9.0189,  88.52783,  0.00787, -0.6063, -0.79528,  1.00, -0.12598, -0.69291, -0.70866,  1.00,  0.66355,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 2, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
68, 27029,  22.83325, -9.58931,  88.92926, -0.06299, -0.30709, -0.95276,  1.00,  0.40945, -0.81102, -0.41732,  1.00,  0.66354,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 8, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
69, 27030,  23.1186, -8.34713,  91.4279,  0.20472,  0.68504,  0.70079,  1.00,  0.00787,  0.32283,  0.94488, -1.00,  0.66354,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 8, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
70, 27031,  23.55075, -7.5306,  91.14771,  0.00,  0.49606,  0.87402,  1.00,  0.00787,  0.32283,  0.94488, -1.00,  0.66355,  0.34214,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 2, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
71, 27032,  23.35408, -8.37446,  91.62961,  0.32283,  0.50394,  0.80315,  1.00, -0.52756,  0.51181,  0.68504, -1.00,  0.66354,  0.34214,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 8, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
72, 27033,  14.71531, -14.14822,  100.21394,  0.70866,  0.70079,  0.05512,  1.00,  0.77953,  0.5748, -0.25197, -1.00,  0.66349,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
73, 27034,  14.73402, -13.88445,  100.86636,  0.72441,  0.69291,  0.00787,  1.00,  0.77953,  0.5748, -0.25197, -1.00,  0.66349,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
74, 27035,  14.69008, -13.86464,  99.75201,  0.43307,  0.88189,  0.17323,  1.00,  1.00,  0.02362, -0.03937, -1.00,  0.66349,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
75, 27036,  14.71531, -14.14822,  100.21394,  0.70866,  0.70079,  0.05512,  1.00,  0.77953,  0.5748, -0.25197,  1.00,  0.66349,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
76, 27037,  15.18695, -14.40869,  99.90926,  0.87402,  0.38583,  0.29134,  1.00,  0.25197,  0.89764, -0.37008,  1.00,  0.66349,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
77, 27038,  14.73402, -13.88445,  100.86636,  0.72441,  0.69291,  0.00787,  1.00,  0.77953,  0.5748, -0.25197,  1.00,  0.66349,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
78, 27039,  14.52579, -13.74905,  103.27443,  0.79528,  0.59843,  0.05512,  1.00,  0.6378,  0.77165,  0.01575,  1.00,  0.66347,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
79, 27040,  14.18172, -13.46093,  103.07014,  0.66929,  0.74016,  0.01575,  1.00,  0.6378,  0.77165,  0.01575, -1.00,  0.66347,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
80, 27041,  14.73402, -13.88445,  100.86636,  0.72441,  0.69291,  0.00787,  1.00,  0.6378,  0.77165,  0.01575, -1.00,  0.66349,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
81, 27042,  12.90159, -14.88331,  99.62455, -0.85827, -0.51969,  0.0315,  1.00, -0.29134, -0.95276, -0.0315, -1.00,  0.6635,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
82, 27043,  12.85719, -14.92089,  101.03173, -0.74016, -0.66929, -0.04724,  1.00, -0.73228, -0.64567, -0.22047, -1.00,  0.66349,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
83, 27044,  13.19131, -14.99163,  100.14669, -0.74803, -0.66142,  0.00787,  1.00, -0.73228, -0.64567, -0.22047, -1.00,  0.66349,  0.34212,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
84, 27045,  13.31362,  10.83432,  94.09111,  0.69291, -0.34646,  0.62992,  1.00,  0.59843,  0.29134,  0.74803, -1.00,  0.6631,  0.34222,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
85, 27046,  13.28164,  11.18589,  93.97932,  0.75591, -0.13386,  0.6378,  1.00,  0.56693, -0.13386,  0.81102, -1.00,  0.6631,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
86, 27047,  15.34664,  10.81846,  92.47826,  0.51969, -0.13386,  0.84252,  1.00,  0.56693, -0.13386,  0.81102,  1.00,  0.66307,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 0, 0, 0,  0.80,  0.20,  0.00,  0.00
87, 27048,  11.3054,  11.93225,  92.23627, -0.35433,  0.40157, -0.85039,  1.00, -0.61417, -0.12598, -0.77953, -1.00,  0.6631,  0.34216,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
88, 27049,  11.3322,  11.58837,  92.26981, -0.35433,  0.25197, -0.89764,  1.00, -0.55118,  0.28346, -0.77953,  1.00,  0.6631,  0.34216,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
89, 27050,  13.14485,  11.30247,  90.88754, -0.44094,  0.25984, -0.85827,  1.00, -0.55118,  0.28346, -0.77953,  1.00,  0.66307,  0.34216,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 0, 0, 0,  0.80,  0.20,  0.00,  0.00
